state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
Maryland,Baltimore,Black/African Descent,26-35,Married,Masters,White / Caucasian,46-55,Single,Masters,1-3 months,1-2,Yes,6.0,4.0,5.0,Weekly Allowance,< $300,,sugar_baby,1.5,600.0,400.0
Maryland,annapolis,Pacific Islander,26-35,Single,Bachelor Degree,Native American,56-65,Widow,Doctorate,Less than a month,1-2,Yes,6.0,7.0,7.0,Weekly Allowance,$700-$799,,sugar_baby,1.5,3000.0,2000.0
Washington D.C.,Tysons,White / Caucasian,18-25,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Bachelor Degree,Less than a month,3-4,No,7.0,9.0,10.0,Pay Per Meet (PPM),"$2k - $2,999",,sugar_baby,3.5,8750.0,2500.0
Washington D.C.,dc,Black/African Descent,26-35,Single,Masters,White / Caucasian,46-55,Married,Doctorate,1-3 months,7-8,Yes,10.0,10.0,10.0,Gifts and Experiences,,$10k or more,sugar_baby,7.5,10000.0,1333.3333333333333
Virginia,Herndon,White / Caucasian,18-25,Open Relationship,High School Diploma,White / Caucasian,56-65,Divorced,Bachelor Degree,Less than a month,5-6,Yes,7.0,7.0,7.0,Pay Per Meet (PPM),$600-$699,,sugar_baby,5.5,3575.0,650.0
Maryland,Fort Washington,Mixed,18-25,Single,Bachelor Degree,White / Caucasian,56-65,Married,High School Diploma,1-3 months,10+,Yes,7.0,8.0,8.0,Pay Per Meet (PPM),$600-$699,,sugar_baby,10.0,6500.0,650.0
Virginia,Woodbridge,Latin / Hispanic,26-35,Single,High School Diploma,White / Caucasian,36-45,Divorced,Bachelor Degree,Less than a month,5-6,Yes,10.0,10.0,10.0,Pay Per Meet (PPM),< $300,,sugar_baby,5.5,825.0,150.0
Virginia,Virginia Beach,,18-25,Single,Associate Degree,White / Caucasian,36-45,Divorced,High School Diploma,Less than a month,7-8,Yes,7.0,6.0,7.0,Weekly Allowance,$400-$499,,sugar_baby,7.5,1800.0,240.0
Maryland,Bethesda,White / Caucasian,18-25,Single,Bachelor Degree,White / Caucasian,18-25,Divorced,Doctorate,1-3 months,3-4,No,8.0,8.0,7.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,3.5,1575.0,450.0
Delaware,Wilmington,Black/African Descent,26-35,Single,Some College,Black/African Descent,36-45,Divorced,Masters,Less than a month,3-4,No,6.0,4.0,6.0,Pay Per Meet (PPM),< $300,,sugar_daddy,3.5,525.0,150.0
Maryland,Columbia,Asian,18-25,Single,Some College,White / Caucasian,46-55,Divorced,Bachelor Degree,1-3 months,5-6,Yes,9.0,9.0,8.0,Pay Per Meet (PPM),< $300,,sugar_daddy,5.5,825.0,150.0
Maryland,Baltimore,Mixed,18-25,Single,High School Diploma,Jewish,36-45,Married,Some College,10-12 months,1-2,Yes,7.0,10.0,8.0,Monthly Allowance,,"$1k- $1,999",sugar_daddy,1.5,1500.0,1000.0
