state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
New Jersey,"Morristown, NJ",Mixed,18-25,Single,Some College,Mixed,56-65,Divorced,Bachelor Degree,7-9 months,3-4,Yes,9.0,8.0,7.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,3.5,2500.0,714.2857142857143
New Jersey,Old Bridge,Latin / Hispanic,18-25,Single,High School Diploma,White / Caucasian,56-65,Divorced,Some College,1-3 months,3-4,Yes,7.0,6.0,7.0,Pay Per Meet (PPM),$600-$699,,sugar_baby,3.5,2275.0,650.0
New Jersey,Delran,Black/African Descent,26-35,Single,Bachelor Degree,Black/African Descent,36-45,Divorced,Masters,More than 1 year,1-2,Yes,6.0,3.0,1.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,1.5,525.0,350.0
New Jersey,morristown,Mixed,26-35,Single,Bachelor Degree,White / Caucasian,36-45,Single,Bachelor Degree,4-6 months,7-8,Yes,6.0,4.0,5.0,Weekly Allowance,$600-$699,,sugar_baby,7.5,2600.0,346.6666666666667
New Jersey,Lavalette,White / Caucasian,36-45,Separated,High School Diploma,White / Caucasian,56-65,Widow,Bachelor Degree,Less than a month,3-4,No,5.0,5.0,5.0,Pay Per Meet (PPM),< $300,,sugar_baby,3.5,525.0,150.0
New Jersey,Camden,White / Caucasian,46-55,Divorced,Associate Degree,White / Caucasian,46-55,Divorced,High School Diploma,1-3 months,1-2,No,8.0,8.0,7.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,1.5,2250.0,1500.0
New Jersey,MORRISTOWN,Mixed,36-45,Single,Bachelor Degree,Latin / Hispanic,36-45,Single,Masters,1-3 months,3-4,Yes,7.0,7.0,7.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
New Jersey,Morristown,White / Caucasian,36-45,Divorced,Masters,White / Caucasian,46-55,Married,High School Diploma,More than 1 year,1-2,Yes,1.0,10.0,10.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,1.5,1500.0,1000.0
New York,New york,Black/African Descent,36-45,Single,Some College,White / Caucasian,56-65,Married,Bachelor Degree,More than 1 year,3-4,Yes,8.0,5.0,6.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,3.5,2500.0,714.2857142857143
New York,Watervliet,White / Caucasian,26-35,Single,Associate Degree,White / Caucasian,26-35,Divorced,Associate Degree,1-3 months,1-2,No,10.0,10.0,10.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,1.5,675.0,450.0
New York,New York,Latin / Hispanic,26-35,Single,High School Diploma,White / Caucasian,46-55,Married,Masters,1-3 months,3-4,Yes,8.0,8.0,4.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
New York,Brooklyn,Latin / Hispanic,26-35,Single,Masters,Mixed,46-55,Separated,Doctorate,7-9 months,5-6,Yes,9.0,10.0,9.0,Monthly Allowance,,"$5k-$5,999",sugar_baby,5.5,5500.0,1000.0
New York,Manhattan,White / Caucasian,18-25,Single,Some College,White / Caucasian,36-45,Single,Some College,1-3 months,10+,Yes,7.0,7.0,7.0,Weekly Allowance,"$1k - $1,999",,sugar_baby,10.0,6000.0,600.0
New York,Freedom,White / Caucasian,36-45,Separated,Some College,White / Caucasian,26-35,Single,Associate Degree,4-6 months,3-4,No,3.0,3.0,1.0,Pay Per Meet (PPM),< $300,,sugar_baby,3.5,525.0,150.0
New York,nyc,Asian,26-35,Single,Bachelor Degree,White / Caucasian,36-45,Divorced,Bachelor Degree,7-9 months,3-4,Yes,9.0,8.0,10.0,Monthly Allowance,,"$4k-$4,999",sugar_baby,3.5,4500.0,1285.7142857142858
New York,NYC,Latin / Hispanic,26-35,Married,Bachelor Degree,White / Caucasian,36-45,Married,Masters,Less than a month,3-4,Yes,9.0,8.0,7.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,3.5,5250.0,1500.0
New York,New York City,Asian,26-35,Single,Masters,Middle Eastern,46-55,Single,Bachelor Degree,1-3 months,3-4,No,10.0,7.0,8.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,3.5,1225.0,350.0
New York,Manhattan,White / Caucasian,18-25,Single,Bachelor Degree,White / Caucasian,56-65,Single,Bachelor Degree,Less than a month,1-2,"Yes, No",4.0,3.0,5.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,1.5,1500.0,1000.0
New York,New York,Black/African Descent,18-25,Single,Some College,Latin / Hispanic,26-35,Single,Masters,More than 1 year,10+,Yes,9.0,6.0,7.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,10.0,1500.0,150.0
New York,Buffalo,Latin / Hispanic,26-35,Single,High School Diploma,White / Caucasian,46-55,Single,High School Diploma,10-12 months,3-4,Yes,4.0,4.0,8.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
New York,Syracuse,White / Caucasian,36-45,Separated,Bachelor Degree,White / Caucasian,46-55,Single,Masters,More than 1 year,3-4,Yes,5.0,5.0,2.0,Gifts and Experiences,,"$5k-$5,999",sugar_baby,3.5,5500.0,1571.4285714285713
New York,Brooklyn,Black/African Descent,26-35,Single,Some College,Black/African Descent,36-45,Married,Bachelor Degree,10-12 months,3-4,Yes,9.0,9.0,10.0,Weekly Allowance,$500-$599,,sugar_baby,3.5,2200.0,628.5714285714286
New York,New York,Asian,18-25,Single,Bachelor Degree,White / Caucasian,46-55,Married,Doctorate,Less than a month,1-2,Yes,5.0,5.0,8.0,Weekly Allowance,$800-$899,,sugar_baby,1.5,3400.0,2266.6666666666665
New York,New York City,Latin / Hispanic,18-25,Single,Associate Degree,White / Caucasian,36-45,Married,Masters,1-3 months,3-4,No,1.0,1.0,1.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,3.5,1225.0,350.0
New York,Nyc,Asian,18-25,Single,Some College,Asian,26-35,Single,Associate Degree,1-3 months,5-6,No,7.0,7.0,7.0,Pay Per Meet (PPM),$800-$899,,sugar_baby,5.5,4675.0,850.0
New York,NYC,Asian,26-35,Single,Masters,White / Caucasian,56-65,Married,Doctorate,More than 1 year,3-4,Yes,9.0,9.0,8.0,Monthly Allowance,,$10k or more,sugar_baby,3.5,10000.0,2857.1428571428573
New York,New York City,Black/African Descent,18-25,Married,Doctorate,White / Caucasian,56-65,Married,Masters,More than 1 year,7-8,Yes,10.0,9.0,9.0,Monthly Allowance,,$10k or more,sugar_baby,7.5,10000.0,1333.3333333333333
New York,NYC,Black/African Descent,18-25,Single,Masters,White / Caucasian,46-55,Married,Masters,7-9 months,1-2,No,6.0,6.0,6.0,Monthly Allowance,,"$4k-$4,999",sugar_baby,1.5,4500.0,3000.0
New York,New York City,Black/African Descent,26-35,Married,Masters,White / Caucasian,56-65,Divorced,Masters,More than 1 year,3-4,Yes,10.0,10.0,10.0,Weekly Allowance,$3k or more,,sugar_baby,3.5,14000.0,4000.0
New York,NYC,Black/African Descent,18-25,Single,Bachelor Degree,White / Caucasian,56-65,Married,Masters,More than 1 year,9-10,Yes,10.0,10.0,10.0,Weekly Allowance,$3k or more,,sugar_baby,9.5,14000.0,1473.6842105263158
New York,NYC,Latin / Hispanic,26-35,Married,Bachelor Degree,White / Caucasian,36-45,Married,Masters,1-3 months,3-4,Yes,10.0,10.0,10.0,Pay Per Meet (PPM),"$2k - $2,999",,sugar_baby,3.5,8750.0,2500.0
New York,New York City,White / Caucasian,46-55,Divorced,Masters,White / Caucasian,56-65,Married,Bachelor Degree,1-3 months,3-4,No,9.0,10.0,8.0,Monthly Allowance,,$10k or more,sugar_baby,3.5,10000.0,2857.1428571428573
New York,Rochester,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,36-45,Married,Doctorate,7-9 months,5-6,Yes,8.0,8.0,8.0,Monthly Allowance,,"$5k-$5,999",sugar_baby,5.5,5500.0,1000.0
