state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
Florida,Orlando,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,36-45,Divorced,Doctorate,More than 1 year,5-6,Yes,8.0,7.0,10.0,Pay Per Meet (PPM),< $300,,sugar_baby,5.5,825.0,150.0
Florida,Cocoa Beach,White / Caucasian,36-45,Divorced,Bachelor Degree,White / Caucasian,66-75,Divorced,Masters,More than 1 year,7-8,Yes,9.0,10.0,10.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,7.5,2500.0,333.3333333333333
Florida,Orlando,White / Caucasian,26-35,Married,Bachelor Degree,White / Caucasian,36-45,Single,Bachelor Degree,Less than a month,3-4,Yes,8.0,7.0,8.0,Weekly Allowance,< $300,,sugar_baby,3.5,600.0,171.42857142857142
Florida,Orlando,Latin / Hispanic,18-25,Single,Bachelor Degree,White / Caucasian,46-55,Separated,Some College,Less than a month,3-4,Yes,5.0,5.0,5.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
Florida,Fort Lauderdale,White / Caucasian,18-25,Single,Associate Degree,White / Caucasian,56-65,Divorced,Doctorate,4-6 months,1-2,Yes,5.0,4.0,5.0,Monthly Allowance,,"$3k-$3,999",sugar_baby,1.5,3500.0,2333.3333333333335
Florida,orlando,Latin / Hispanic,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Single,Masters,Less than a month,3-4,Yes,7.0,5.0,8.0,Weekly Allowance,$500-$599,,sugar_baby,3.5,2200.0,628.5714285714286
Florida,Orlando,White / Caucasian,26-35,Single,Associate Degree,White / Caucasian,56-65,Married,Bachelor Degree,1-3 months,3-4,Yes,10.0,10.0,10.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,3.5,1575.0,450.0
Florida,Miami,White / Caucasian,26-35,Single,Some College,White / Caucasian,46-55,Single,Bachelor Degree,4-6 months,3-4,Yes,9.0,9.0,9.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,3.5,5250.0,1500.0
Florida,Orlando,Latin / Hispanic,18-25,Single,Masters,White / Caucasian,26-35,Single,Masters,Less than a month,10+,Yes,10.0,10.0,10.0,Monthly Allowance,,$10k or more,sugar_baby,10.0,10000.0,1000.0
Florida,Boca Raton,White / Caucasian,36-45,Single,Doctorate,White / Caucasian,46-55,Married,Bachelor Degree,4-6 months,1-2,No,7.0,8.0,10.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,1.5,2250.0,1500.0
Georgia,Grovwtown,White / Caucasian,36-45,Single,Some College,White / Caucasian,46-55,Single,Some College,1-3 months,3-4,No,5.0,5.0,5.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,3.5,1575.0,450.0
Georgia,Oakwood,Native American,18-25,Open Relationship,Some College,White / Caucasian,56-65,Widow,Bachelor Degree,Less than a month,10+,No,10.0,5.0,4.0,Pay Per Meet (PPM),$600-$699,,sugar_baby,10.0,6500.0,650.0
Georgia,Atlanta,White / Caucasian,26-35,Single,Masters,White / Caucasian,56-65,Divorced,Masters,1-3 months,7-8,No,8.0,10.0,10.0,Weekly Allowance,$400-$499,,sugar_baby,7.5,1800.0,240.0
Georgia,macon,White / Caucasian,18-25,Single,Some College,White / Caucasian,36-45,Divorced,Masters,Less than a month,1-2,Yes,4.0,1.0,4.0,Pay Per Meet (PPM),< $300,,sugar_baby,1.5,225.0,150.0
Georgia,Atlanta,White / Caucasian,36-45,Separated,High School Diploma,Black/African Descent,36-45,Married,Some College,More than 1 year,5-6,Yes,10.0,9.0,6.0,Monthly Allowance,,"$3k-$3,999",sugar_baby,5.5,3500.0,636.3636363636364
Georgia,Atlanta,Mixed,18-25,Single,Bachelor Degree,White / Caucasian,76+,Divorced,Masters,More than 1 year,3-4,Yes,9.0,9.0,9.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,3.5,5250.0,1500.0
Georgia,Brookhaven,Black/African Descent,26-35,Divorced,Associate Degree,Black/African Descent,46-55,Single,Masters,More than 1 year,3-4,Yes,5.0,6.0,4.0,Weekly Allowance,$300-$399,,sugar_baby,3.5,1400.0,400.0
Georgia,Athens,Middle Eastern,18-25,Single,Bachelor Degree,White / Caucasian,36-45,Divorced,Less than High School,Less than a month,3-4,No,1.0,5.0,7.0,Weekly Allowance,< $300,,sugar_baby,3.5,600.0,171.42857142857142
Georgia,Marietta,White / Caucasian,26-35,Divorced,Bachelor Degree,White / Caucasian,46-55,Married,Masters,Less than a month,1-2,No,3.0,1.0,1.0,Pay Per Meet (PPM),< $300,,sugar_baby,1.5,225.0,150.0
Georgia,Atlanta,Black/African Descent,26-35,Single,Bachelor Degree,Black/African Descent,46-55,Divorced,Masters,Less than a month,3-4,Yes,5.0,5.0,5.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,3.5,1500.0,428.57142857142856
Georgia,Powder springs,Latin / Hispanic,26-35,Single,Associate Degree,White / Caucasian,46-55,Single,Doctorate,7-9 months,3-4,Yes,7.0,10.0,8.0,Weekly Allowance,"$1k - $1,999",,sugar_baby,3.5,6000.0,1714.2857142857142
Georgia,Augusta,Latin / Hispanic,46-55,Divorced,Associate Degree,European,66-75,Divorced,Doctorate,1-3 months,3-4,No,8.0,6.0,9.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,3.5,1225.0,350.0
Georgia,Augusta,Latin / Hispanic,46-55,Divorced,Associate Degree,White / Caucasian,56-65,Divorced,Doctorate,1-3 months,3-4,No,7.0,3.0,1.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
Georgia,Atlanta,Black/African Descent,26-35,Divorced,Associate Degree,White / Caucasian,56-65,Separated,Bachelor Degree,7-9 months,10+,No,5.0,4.0,4.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,10.0,3500.0,350.0
Georgia,Atlanta,Black/African Descent,26-35,Single,Bachelor Degree,Black/African Descent,36-45,Single,Masters,Less than a month,1-2,Yes,8.0,5.0,5.0,Monthly Allowance,,"$3k-$3,999",sugar_baby,1.5,3500.0,2333.3333333333335
Kentucky,Lexington,White / Caucasian,26-35,Divorced,Some College,N/a,18-25,Single,Less than High School,Less than a month,1-2,No,1.0,1.0,1.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,1.5,525.0,350.0
Kentucky,louisville,Asian,26-35,Divorced,Bachelor Degree,White / Caucasian,46-55,Single,Bachelor Degree,1-3 months,3-4,No,7.0,7.0,7.0,Pay Per Meet (PPM),$800-$899,,sugar_baby,3.5,2975.0,850.0
Kentucky,Louisville,White / Caucasian,36-45,Widow,Bachelor Degree,White / Caucasian,56-65,Open Relationship,Bachelor Degree,More than 1 year,1-2,No,7.0,8.0,8.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,1.5,525.0,350.0
Kentucky,Louisville,Mixed,18-25,Single,Bachelor Degree,White / Caucasian,36-45,Widow,Bachelor Degree,Less than a month,5-6,Yes,5.0,5.0,5.0,Weekly Allowance,< $300,,sugar_baby,5.5,600.0,109.0909090909091
Louisiana,West Monroe,White / Caucasian,26-35,Single,Some College,Single,26-35,Single,Masters,4-6 months,5-6,Yes,6.0,4.0,2.0,Weekly Allowance,$500-$599,,sugar_baby,5.5,2200.0,400.0
Louisiana,new orleans,Black/African Descent,26-35,Single,Some College,Black/African Descent,46-55,Divorced,Bachelor Degree,Less than a month,3-4,No,6.0,5.0,1.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
Louisiana,New orleans,White / Caucasian,18-25,Single,High School Diploma,White / Caucasian,56-65,Single,Bachelor Degree,4-6 months,1-2,Yes,6.0,6.0,4.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
