state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
Montana,Billings,White / Caucasian,26-35,Single,High School Diploma,White / Caucasian,56-65,Married,High School Diploma,Less than a month,10+,Yes,5.0,5.0,5.0,Weekly Allowance,$800-$899,,sugar_baby,10.0,3400.0,340.0
Colorado,Denver,Black/African Descent,26-35,Single,Some College,White / Caucasian,36-45,Open Relationship,Bachelor Degree,1-3 months,5-6,Yes,10.0,10.0,10.0,Monthly Allowance,,"$1k- $1,999",sugar_daddy,5.5,1500.0,272.72727272727275
Colorado,Denver,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,36-45,Open Relationship,Bachelor Degree,1-3 months,3-4,No,10.0,10.0,10.0,Pay Per Meet (PPM),$300-$399,,sugar_daddy,3.5,1225.0,350.0
Colorado,Colorado Springs,White / Caucasian,26-35,Divorced,High School Diploma,Mixed,56-65,Divorced,Bachelor Degree,4-6 months,1-2,Yes,7.0,9.0,9.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,1.5,675.0,450.0
Colorado,Colorado Springs,Mixed,26-35,Single,Some College,Multi,36-45,Single,Masters,More than 1 year,3-4,Yes,8.0,5.0,8.0,Gifts and Experiences,,"$1k- $1,999",sugar_daddy,3.5,1500.0,428.57142857142856
Colorado,Boulder,White / Caucasian,26-35,Single,Masters,White / Caucasian,36-45,Single,Masters,Less than a month,3-4,No,5.0,8.0,3.0,Gifts and Experiences,,"$1k- $1,999",sugar_daddy,3.5,1500.0,428.57142857142856
Colorado,Denver,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,36-45,Single,Some College,Less than a month,1-2,Yes,7.0,8.0,7.0,Pay Per Meet (PPM),"$2k - $2,999",,sugar_daddy,1.5,3750.0,2500.0
Colorado,Denver,Latin / Hispanic,18-25,Single,Some College,White / Caucasian,66-75,Divorced,Bachelor Degree,4-6 months,3-4,Yes,8.0,9.0,3.0,Monthly Allowance,,"$1k- $1,999",sugar_daddy,3.5,1500.0,428.57142857142856
Colorado,Denver,White / Caucasian,26-35,Single,Some College,White / Caucasian,36-45,Single,Bachelor Degree,10-12 months,3-4,No,8.0,10.0,10.0,Monthly Allowance,,"$4k-$4,999",sugar_daddy,3.5,4500.0,1285.7142857142858
Colorado,Denver,White / Caucasian,26-35,Single,Some College,White / Caucasian,46-55,Married,Bachelor Degree,4-6 months,1-2,Yes,7.0,7.0,7.0,Pay Per Meet (PPM),$500-$599,,sugar_daddy,1.5,825.0,550.0
Colorado,Denver,Latin / Hispanic,18-25,Single,High School Diploma,White / Caucasian,36-45,Open Relationship,Bachelor Degree,4-6 months,5-6,No,10.0,10.0,7.0,Monthly Allowance,,"$1k- $1,999",sugar_daddy,5.5,1500.0,272.72727272727275
Colorado,Denver,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Masters,Less than a month,3-4,Yes,6.0,7.0,7.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,3.5,1575.0,450.0
Colorado,Denver,White / Caucasian,26-35,Single,Bachelor Degree,Asian,26-35,Single,Some College,1-3 months,5-6,Yes,8.0,10.0,6.0,Pay Per Meet (PPM),$800-$899,,sugar_daddy,5.5,4675.0,850.0
Colorado,denver,White / Caucasian,26-35,Single,Bachelor Degree,East Indian,36-45,Single,Masters,1-3 months,3-4,Yes,8.0,8.0,8.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,3.5,1575.0,450.0
Colorado,Ft Collins,White / Caucasian,36-45,Single,Associate Degree,White / Caucasian,46-55,Married,Bachelor Degree,1-3 months,3-4,Yes,5.0,6.0,8.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,3.5,1575.0,450.0
Colorado,Denver,White / Caucasian,26-35,Single,Some College,White / Caucasian,56-65,Married,Masters,4-6 months,1-2,No,8.0,2.0,6.0,Pay Per Meet (PPM),$800-$899,,sugar_daddy,1.5,1275.0,850.0
Colorado,Denver,Latin / Hispanic,18-25,Single,Some College,White / Caucasian,46-55,Single,Bachelor Degree,4-6 months,3-4,Yes,7.0,7.0,4.0,Monthly Allowance,,"$2k-$2,999",sugar_daddy,3.5,2500.0,714.2857142857143
Colorado,Broomfield,White / Caucasian,18-25,Single,High School Diploma,White / Caucasian,46-55,Divorced,Some College,Less than a month,1-2,Yes,8.0,9.0,8.0,Pay Per Meet (PPM),$700-$799,,sugar_daddy,1.5,1125.0,750.0
Idaho,Coeur d'Alene,White / Caucasian,36-45,Divorced,High School Diploma,White / Caucasian,46-55,Open Relationship,Bachelor Degree,Less than a month,1-2,Yes,9.0,9.0,8.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,1.5,675.0,450.0
Idaho,Lewiston,Latin / Hispanic,26-35,Single,High School Diploma,White / Caucasian,46-55,Widow,High School Diploma,4-6 months,3-4,Yes,9.0,8.0,8.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,3.5,1575.0,450.0
Idaho,Boise,White / Caucasian,26-35,Single,Some College,White / Caucasian,46-55,Single,Bachelor Degree,4-6 months,3-4,Yes,7.0,7.0,6.0,Monthly Allowance,,"$1k- $1,999",sugar_daddy,3.5,1500.0,428.57142857142856
Montana,Bozeman,White / Caucasian,46-55,Open Relationship,Bachelor Degree,White / Caucasian,46-55,Open Relationship,Bachelor Degree,More than 1 year,1-2,No,8.0,8.0,9.0,Pay Per Meet (PPM),$300-$399,,sugar_daddy,1.5,525.0,350.0
Nevada,Las Vegas,White / Caucasian,26-35,Single,High School Diploma,Asian,46-55,Single,Masters,1-3 months,3-4,No,6.0,5.0,6.0,Pay Per Meet (PPM),$500-$599,,sugar_daddy,3.5,1925.0,550.0
Nevada,Las Vegas,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,56-65,Single,Doctorate,10-12 months,9-10,Yes,9.0,8.0,10.0,Monthly Allowance,,"$2k-$2,999",sugar_daddy,9.5,2500.0,263.1578947368421
Nevada,Las vegas,White / Caucasian,26-35,Divorced,Bachelor Degree,White / Caucasian,56-65,Single,Doctorate,4-6 months,3-4,No,9.0,9.0,8.0,Pay Per Meet (PPM),$600-$699,,sugar_daddy,3.5,2275.0,650.0
Nevada,Incline village,,18-25,Single,Bachelor Degree,,36-45,Single,Masters,More than 1 year,3-4,Yes,8.0,5.0,5.0,Monthly Allowance,,$8-$8.999,sugar_daddy,3.5,8500.0,2428.5714285714284
Nevada,Reno,White / Caucasian,18-25,Single,Bachelor Degree,White / Caucasian,56-65,Married,Bachelor Degree,1-3 months,1-2,Yes,8.0,5.0,8.0,Monthly Allowance,,"$1k- $1,999",sugar_daddy,1.5,1500.0,1000.0
Nevada,Las Vegas,White / Caucasian,36-45,Divorced,Associate Degree,Latin / Hispanic,26-35,Single,Masters,4-6 months,1-2,No,10.0,10.0,10.0,Pay Per Meet (PPM),$500-$599,,sugar_daddy,1.5,825.0,550.0
Nevada,Las vegas,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,66-75,Single,Doctorate,More than 1 year,10+,No,10.0,10.0,10.0,Monthly Allowance,,"$2k-$2,999",sugar_daddy,10.0,2500.0,250.0
Utah,Salt lake city,,26-35,Single,Some College,Asian,26-35,Single,Doctorate,1-3 months,3-4,Yes,7.0,6.0,6.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_daddy,3.5,5250.0,1500.0
Utah,Salt Lake City,Mixed,26-35,Single,Some College,Mixed,46-55,Divorced,Doctorate,More than 1 year,10+,Yes,10.0,10.0,10.0,Gifts and Experiences,,$10k or more,sugar_daddy,10.0,10000.0,1000.0
